# pulled from biomart on 2025-10-17
"Gene.stable.ID"	"Gene.stable.ID.version"	"Transcript.stable.ID"	"Transcript.stable.ID.version"	"RefSeq.match.transcript..MANE.Select."
"ENSG00000129862"	"ENSG00000129862.7"	"ENST00000250823"	"ENST00000250823.5"	"NM_181880.2"
"ENSG00000280969"	"ENSG00000280969.2"	"ENST00000629237"	"ENST00000629237.2"	"NM_001039567.3"
"ENSG00000099715"	"ENSG00000099715.15"	"ENST00000698851"	"ENST00000698851.1"	"NM_001395587.1"
"ENSG00000172352"	"ENSG00000172352.5"	"ENST00000382407"	"ENST00000382407.1"	"NM_001003894.2"
"ENSG00000183795"	"ENSG00000183795.8"	"ENST00000382392"	"ENST00000382392.5"	"NM_001002760.1"
"ENSG00000172288"	"ENSG00000172288.8"	"ENST00000306609"	"ENST00000306609.5"	"NM_004680.3"
"ENSG00000242875"	"ENSG00000242875.7"	"ENST00000383020"	"ENST00000383020.7"	"NM_001006121.4"
"ENSG00000234414"	"ENSG00000234414.8"	"ENST00000382707"	"ENST00000382707.6"	"NM_005058.4"
"ENSG00000233803"	"ENSG00000233803.9"	"ENST00000426950"	"ENST00000426950.6"	"NM_001164471.2"
"ENSG00000229549"	"ENSG00000229549.9"	"ENST00000287721"	"ENST00000287721.13"	"NM_001243721.2"
"ENSG00000228927"	"ENSG00000228927.10"	"ENST00000457222"	"ENST00000457222.6"	"NM_001077697.2"
"ENSG00000258992"	"ENSG00000258992.7"	"ENST00000451548"	"ENST00000451548.6"	"NM_003308.4"
"ENSG00000238074"	"ENSG00000238074.6"	"ENST00000440215"	"ENST00000440215.5"	"NM_001396063.1"
"ENSG00000236424"	"ENSG00000236424.7"	"ENST00000428845"	"ENST00000428845.6"	"NM_001282469.3"
"ENSG00000168757"	"ENSG00000168757.13"	"ENST00000320701"	"ENST00000320701.9"	"NM_022573.4"
"ENSG00000262315"	"ENSG00000262315.4"	"ENST00000627176"	"ENST00000627176.1"	"NM_001013356.2"
"ENSG00000281038"	"ENSG00000281038.1"	"ENST00000626074"	"ENST00000626074.1"	"NM_001013357.1"
"ENSG00000244395"	"ENSG00000244395.6"	"ENST00000382680"	"ENST00000382680.5"	"NM_001006120.3"
"ENSG00000242389"	"ENSG00000242389.9"	"ENST00000382659"	"ENST00000382659.7"	"NM_001006118.3"
"ENSG00000169800"	"ENSG00000169800.14"	"ENST00000303766"	"ENST00000303766.12"	"NM_152585.3"
"ENSG00000226941"	"ENSG00000226941.9"	"ENST00000250831"	"ENST00000250831.6"	"NM_001006117.4"
"ENSG00000281123"	"ENSG00000281123.5"	"ENST00000628705"	"ENST00000628705.3"	"NM_003890.3"
"ENSG00000165246"	"ENSG00000165246.16"	"ENST00000684976"	"ENST00000684976.1"	"NM_001365588.1"
"ENSG00000067048"	"ENSG00000067048.18"	"ENST00000336079"	"ENST00000336079.8"	"NM_004660.5"
"ENSG00000288475"	"ENSG00000288475.5"	"ENST00000671703"	"ENST00000671703.3"	"NM_001137667.2"
"ENSG00000114374"	"ENSG00000114374.14"	"ENST00000338981"	"ENST00000338981.7"	"NM_004654.4"
"ENSG00000183878"	"ENSG00000183878.17"	"ENST00000545955"	"ENST00000545955.6"	"NM_001258249.2"
"ENSG00000012817"	"ENSG00000012817.17"	"ENST00000317961"	"ENST00000317961.9"	"NM_004653.5"
"ENSG00000067646"	"ENSG00000067646.13"	"ENST00000155093"	"ENST00000155093.8"	"NM_003411.4"
"ENSG00000198692"	"ENSG00000198692.11"	"ENST00000361365"	"ENST00000361365.7"	"NM_004681.4"
"ENSG00000284832"	"ENSG00000284832.2"	"ENST00000643490"	"ENST00000643490.2"	"NM_000937.5"
"ENSG00000281500"	"ENSG00000281500.5"	"ENST00000642844"	"ENST00000642844.3"	"NM_001164277.2"
"ENSG00000154646"	"ENSG00000154646.9"	"ENST00000284885"	"ENST00000284885.8"	"NM_002772.3"
"ENSG00000232263"	"ENSG00000232263.1"	"ENST00000416044"	"ENST00000416044.1"	"NM_001128598.1"
"ENSG00000156282"	"ENSG00000156282.5"	"ENST00000286808"	"ENST00000286808.5"	"NM_012131.3"
"ENSG00000188694"	"ENSG00000188694.6"	"ENST00000340345"	"ENST00000340345.6"	"NM_001085455.3"
"ENSG00000154654"	"ENSG00000154654.15"	"ENST00000400546"	"ENST00000400546.6"	"NM_004540.5"
"ENSG00000156284"	"ENSG00000156284.6"	"ENST00000399899"	"ENST00000399899.2"	"NM_199328.3"
"ENSG00000159256"	"ENSG00000159256.13"	"ENST00000400485"	"ENST00000400485.6"	"NM_015358.3"
"ENSG00000154645"	"ENSG00000154645.14"	"ENST00000299295"	"ENST00000299295.7"	"NM_024944.3"
"ENSG00000159228"	"ENSG00000159228.13"	"ENST00000290349"	"ENST00000290349.11"	"NM_001757.4"
"ENSG00000159263"	"ENSG00000159263.16"	"ENST00000290399"	"ENST00000290399.11"	"NM_005069.6"
"ENSG00000183145"	"ENSG00000183145.9"	"ENST00000329553"	"ENST00000329553.3"	"NM_018962.3"
"ENSG00000160208"	"ENSG00000160208.13"	"ENST00000340648"	"ENST00000340648.6"	"NM_015056.3"
"ENSG00000160216"	"ENSG00000160216.21"	"ENST00000291572"	"ENST00000291572.13"	"NM_020132.5"
"ENSG00000274391"	"ENSG00000274391.5"	"ENST00000618007"	"ENST00000618007.5"	"NM_199261.4"
"ENSG00000183036"	"ENSG00000183036.11"	"ENST00000328619"	"ENST00000328619.10"	"NM_006198.3"
"ENSG00000171587"	"ENSG00000171587.15"	"ENST00000400454"	"ENST00000400454.6"	"NM_001389.5"
"ENSG00000183421"	"ENSG00000183421.12"	"ENST00000332512"	"ENST00000332512.8"	"NM_020639.3"
"ENSG00000160181"	"ENSG00000160181.9"	"ENST00000291526"	"ENST00000291526.5"	"NM_005423.5"
"ENSG00000160182"	"ENSG00000160182.3"	"ENST00000291527"	"ENST00000291527.3"	"NM_003225.3"
"ENSG00000291738"	"ENSG00000291738.2"	"ENST00000711671"	"ENST00000711671.1"	"NM_001401501.2"
"ENSG00000160185"	"ENSG00000160185.15"	"ENST00000319294"	"ENST00000319294.11"	"NM_018961.4"
"ENSG00000234289"	"ENSG00000234289.6"	"ENST00000599962"	"ENST00000599962.2"	"NM_017445.3"
"ENSG00000142182"	"ENSG00000142182.9"	"ENST00000628202"	"ENST00000628202.3"	"NM_175867.3"
"ENSG00000160226"	"ENSG00000160226.16"	"ENST00000339818"	"ENST00000339818.9"	"NM_004928.3"
"ENSG00000215455"	"ENSG00000215455.4"	"ENST00000400375"	"ENST00000400375.1"	"NM_198691.3"
"ENSG00000205445"	"ENSG00000205445.3"	"ENST00000391621"	"ENST00000391621.1"	"NM_198693.4"
"ENSG00000212935"	"ENSG00000212935.2"	"ENST00000391620"	"ENST00000391620.2"	"NM_198696.3"
"ENSG00000241123"	"ENSG00000241123.1"	"ENST00000400372"	"ENST00000400372.1"	"NM_198694.3"
"ENSG00000188155"	"ENSG00000188155.11"	"ENST00000400368"	"ENST00000400368.1"	"NM_198688.3"
"ENSG00000272804"	"ENSG00000272804.3"	"ENST00000609664"	"ENST00000609664.2"	"NM_198689.3"
"ENSG00000187766"	"ENSG00000187766.1"	"ENST00000334662"	"ENST00000334662.2"	"NM_198695.2"
"ENSG00000221859"	"ENSG00000221859.2"	"ENST00000380095"	"ENST00000380095.2"	"NM_181688.3"
"ENSG00000243489"	"ENSG00000243489.4"	"ENST00000334670"	"ENST00000334670.9"	"NM_198692.3"
"ENSG00000212933"	"ENSG00000212933.1"	"ENST00000391618"	"ENST00000391618.1"	"NM_198698.1"
"ENSG00000205439"	"ENSG00000205439.10"	"ENST00000397907"	"ENST00000397907.1"	"NM_198697.2"
"ENSG00000221864"	"ENSG00000221864.4"	"ENST00000360770"	"ENST00000360770.3"	"NM_181684.3"
"ENSG00000187175"	"ENSG00000187175.5"	"ENST00000391617"	"ENST00000391617.1"	"NM_181686.2"
"ENSG00000184221"	"ENSG00000184221.13"	"ENST00000382348"	"ENST00000382348.2"	"NM_138983.3"
"ENSG00000166351"	"ENSG00000166351.11"	"ENST00000299443"	"ENST00000299443.6"	"NM_174981.6"
"ENSG00000177398"	"ENSG00000177398.19"	"ENST00000408910"	"ENST00000408910.7"	"NM_001004416.3"
"ENSG00000183640"	"ENSG00000183640.6"	"ENST00000329621"	"ENST00000329621.6"	"NM_175857.4"
"ENSG00000274749"	"ENSG00000274749.1"	"ENST00000621162"	"ENST00000621162.1"	"NM_181606.3"
"ENSG00000182591"	"ENSG00000182591.6"	"ENST00000332378"	"ENST00000332378.6"	"NM_175858.3"
"ENSG00000206102"	"ENSG00000206102.2"	"ENST00000382822"	"ENST00000382822.2"	"NM_001099219.1"
"ENSG00000233056"	"ENSG00000233056.4"	"ENST00000447535"	"ENST00000447535.2"	"NM_001308491.2"
"ENSG00000188992"	"ENSG00000188992.12"	"ENST00000681601"	"ENST00000681601.1"	"NM_001302998.2"
"ENSG00000221837"	"ENSG00000221837.7"	"ENST00000397911"	"ENST00000397911.5"	"NM_198690.3"
"ENSG00000215454"	"ENSG00000215454.7"	"ENST00000400374"	"ENST00000400374.4"	"NM_198687.2"
"ENSG00000183067"	"ENSG00000183067.6"	"ENST00000380588"	"ENST00000380588.5"	"NM_001080444.2"
"ENSG00000292251"	"ENSG00000292251.1"	"ENST00000710324"	"ENST00000710324.2"	"NM_001396855.1"
"ENSG00000204899"	"ENSG00000204899.6"	"ENST00000377818"	"ENST00000377818.4"	"NM_001071775.3"
"ENSG00000165837"	"ENSG00000165837.12"	"ENST00000298738"	"ENST00000298738.3"	"NM_182542.3"
"ENSG00000150361"	"ENSG00000150361.12"	"ENST00000377844"	"ENST00000377844.9"	"NM_020866.3"
"ENSG00000160294"	"ENSG00000160294.11"	"ENST00000291688"	"ENST00000291688.6"	"NM_003906.5"
"ENSG00000150893"	"ENSG00000150893.11"	"ENST00000280481"	"ENST00000280481.9"	"NM_207361.6"
"ENSG00000204918"	"ENSG00000204918.3"	"ENST00000377930"	"ENST00000377930.1"	"NM_001130404.1"
"ENSG00000227151"	"ENSG00000227151.4"	"ENST00000452123"	"ENST00000452123.3"	"NM_001130406.1"
"ENSG00000234278"	"ENSG00000234278.3"	"ENST00000434815"	"ENST00000434815.1"	"NM_001130407.1"
"ENSG00000174015"	"ENSG00000174015.10"	"ENST00000310521"	"ENST00000310521.6"	"NM_152719.3"
"ENSG00000291827"	"ENSG00000291827.3"	"ENST00000708883"	"ENST00000708883.3"	"NM_001367790.1"
"ENSG00000152192"	"ENSG00000152192.8"	"ENST00000377208"	"ENST00000377208.7"	"NM_006237.4"
"ENSG00000182670"	"ENSG00000182670.14"	"ENST00000418766"	"ENST00000418766.6"	"NM_001330683.2"
"ENSG00000188811"	"ENSG00000188811.14"	"ENST00000379600"	"ENST00000379600.8"	"NM_001012754.4"
"ENSG00000102837"	"ENSG00000102837.7"	"ENST00000219022"	"ENST00000219022.3"	"NM_006418.5"
"ENSG00000204919"	"ENSG00000204919.1"	"ENST00000377931"	"ENST00000377931.1"	"NM_198441.2"
"ENSG00000197683"	"ENSG00000197683.5"	"ENST00000360542"	"ENST00000360542.5"	"NM_203405.2"
"ENSG00000206107"	"ENSG00000206107.2"	"ENST00000382835"	"ENST00000382835.2"	"NM_001077711.1"
"ENSG00000182816"	"ENSG00000182816.9"	"ENST00000399889"	"ENST00000399889.4"	"NM_181621.4"
"ENSG00000198390"	"ENSG00000198390.5"	"ENST00000355459"	"ENST00000355459.4"	"NM_181599.3"
"ENSG00000186970"	"ENSG00000186970.5"	"ENST00000334067"	"ENST00000334067.5"	"NM_181623.3"
"ENSG00000184351"	"ENSG00000184351.8"	"ENST00000390689"	"ENST00000390689.3"	"NM_181607.3"
"ENSG00000186965"	"ENSG00000186965.5"	"ENST00000334055"	"ENST00000334055.5"	"NM_181608.2"
"ENSG00000244025"	"ENSG00000244025.5"	"ENST00000334063"	"ENST00000334063.6"	"NM_181609.4"
"ENSG00000186967"	"ENSG00000186967.7"	"ENST00000334058"	"ENST00000334058.3"	"NM_181610.3"
"ENSG00000186977"	"ENSG00000186977.3"	"ENST00000334151"	"ENST00000334151.3"	"NM_181611.3"
"ENSG00000186925"	"ENSG00000186925.6"	"ENST00000334046"	"ENST00000334046.5"	"NM_181612.3"
"ENSG00000244362"	"ENSG00000244362.3"	"ENST00000334849"	"ENST00000334849.2"	"NM_181614.3"
"ENSG00000206106"	"ENSG00000206106.2"	"ENST00000382830"	"ENST00000382830.2"	"NM_001164434.1"
"ENSG00000186924"	"ENSG00000186924.3"	"ENST00000334680"	"ENST00000334680.3"	"NM_181620.2"
"ENSG00000244624"	"ENSG00000244624.3"	"ENST00000334664"	"ENST00000334664.3"	"NM_181615.2"
"ENSG00000206105"	"ENSG00000206105.2"	"ENST00000382828"	"ENST00000382828.2"	"NM_001350977.1"
"ENSG00000184032"	"ENSG00000184032.3"	"ENST00000330798"	"ENST00000330798.3"	"NM_181616.3"
"ENSG00000206104"	"ENSG00000206104.2"	"ENST00000382826"	"ENST00000382826.2"	"NM_001128077.1"
"ENSG00000231068"	"ENSG00000231068.1"	"ENST00000444335"	"ENST00000444335.1"	"NM_001164435.1"
"ENSG00000187026"	"ENSG00000187026.3"	"ENST00000333892"	"ENST00000333892.3"	"NM_181617.3"
"ENSG00000187005"	"ENSG00000187005.5"	"ENST00000335093"	"ENST00000335093.5"	"NM_181619.2"
"ENSG00000186980"	"ENSG00000186980.7"	"ENST00000334160"	"ENST00000334160.6"	"NM_181624.1"
"ENSG00000240432"	"ENSG00000240432.4"	"ENST00000390690"	"ENST00000390690.3"	"NM_181622.2"
"ENSG00000291895"	"ENSG00000291895.1"	"ENST00000709157"	"ENST00000709157.1"	"NM_005396.5"
"ENSG00000186971"	"ENSG00000186971.4"	"ENST00000334068"	"ENST00000334068.4"	"NM_181600.3"
"ENSG00000186930"	"ENSG00000186930.4"	"ENST00000334897"	"ENST00000334897.4"	"NM_181604.2"
"ENSG00000184724"	"ENSG00000184724.5"	"ENST00000329122"	"ENST00000329122.2"	"NM_181602.2"
"ENSG00000292245"	"ENSG00000292245.1"	"ENST00000710310"	"ENST00000710310.1"	"NM_001348221.2"
"ENSG00000291888"	"ENSG00000291888.2"	"ENST00000713554"	"ENST00000713554.1"	"NM_173858.1"
"ENSG00000160299"	"ENSG00000160299.19"	"ENST00000359568"	"ENST00000359568.10"	"NM_006031.6"
"ENSG00000139734"	"ENSG00000139734.19"	"ENST00000400324"	"ENST00000400324.9"	"NM_001042517.2"
"ENSG00000292258"	"ENSG00000292258.2"	"ENST00000710368"	"ENST00000710368.2"	"NM_001348271.2"
"ENSG00000291780"	"ENSG00000291780.2"	"ENST00000708727"	"ENST00000708727.2"	"NM_001348273.1"
"ENSG00000118946"	"ENSG00000118946.12"	"ENST00000377918"	"ENST00000377918.8"	"NM_001040429.3"
"ENSG00000292247"	"ENSG00000292247.1"	"ENST00000710315"	"ENST00000710315.1"	"NM_001348286.3"
"ENSG00000291925"	"ENSG00000291925.2"	"ENST00000709217"	"ENST00000709217.2"	"NM_001324073.3"
"ENSG00000159140"	"ENSG00000159140.23"	"ENST00000356577"	"ENST00000356577.10"	"NM_138927.4"
"ENSG00000292244"	"ENSG00000292244.1"	"ENST00000710306"	"ENST00000710306.2"	"NM_001417890.1"
"ENSG00000136141"	"ENSG00000136141.15"	"ENST00000389797"	"ENST00000389797.8"	"NM_001164211.2"
"ENSG00000291927"	"ENSG00000291927.2"	"ENST00000709220"	"ENST00000709220.2"	"NM_020973.5"
"ENSG00000229665"	"ENSG00000229665.8"	"ENST00000544357"	"ENST00000544357.2"	"NM_001130405.1"
"ENSG00000184564"	"ENSG00000184564.11"	"ENST00000647374"	"ENST00000647374.2"	"NM_032229.3"
"ENSG00000182968"	"ENSG00000182968.5"	"ENST00000330949"	"ENST00000330949.3"	"NM_005986.3"
"ENSG00000292250"	"ENSG00000292250.1"	"ENST00000710321"	"ENST00000710321.1"	"NM_001276254.2"
"ENSG00000180530"	"ENSG00000180530.11"	"ENST00000318948"	"ENST00000318948.7"	"NM_003489.4"
"ENSG00000041515"	"ENSG00000041515.16"	"ENST00000457511"	"ENST00000457511.7"	"NM_001198950.3"
"ENSG00000185950"	"ENSG00000185950.9"	"ENST00000375856"	"ENST00000375856.5"	"NM_003749.3"
"ENSG00000153498"	"ENSG00000153498.12"	"ENST00000283550"	"ENST00000283550.8"	"NM_145248.5"
"ENSG00000159200"	"ENSG00000159200.18"	"ENST00000313806"	"ENST00000313806.9"	"NM_004414.7"
"ENSG00000204442"	"ENSG00000204442.4"	"ENST00000375915"	"ENST00000375915.4"	"NM_001080396.3"
"ENSG00000185974"	"ENSG00000185974.7"	"ENST00000335678"	"ENST00000335678.7"	"NM_002929.3"
"ENSG00000122042"	"ENSG00000122042.10"	"ENST00000380680"	"ENST00000380680.5"	"NM_007106.4"
"ENSG00000179813"	"ENSG00000179813.7"	"ENST00000313851"	"ENST00000313851.3"	"NM_001318932.2"
"ENSG00000171189"	"ENSG00000171189.18"	"ENST00000327783"	"ENST00000327783.9"	"NM_001330994.2"
"ENSG00000198553"	"ENSG00000198553.9"	"ENST00000312942"	"ENST00000312942.2"	"NM_173605.2"
"ENSG00000189169"	"ENSG00000189169.8"	"ENST00000400365"	"ENST00000400365.3"	"NM_198699.1"
"ENSG00000150510"	"ENSG00000150510.17"	"ENST00000322475"	"ENST00000322475.13"	"NM_001242312.2"
"ENSG00000286224"	"ENSG00000286224.1"	"ENST00000652508"	"ENST00000652508.1"	"NM_001414902.1"
"ENSG00000189167"	"ENSG00000189167.12"	"ENST00000533490"	"ENST00000533490.7"	"NM_001136571.2"
"ENSG00000180138"	"ENSG00000180138.7"	"ENST00000379800"	"ENST00000379800.4"	"NM_145203.6"
"ENSG00000133111"	"ENSG00000133111.4"	"ENST00000255476"	"ENST00000255476.3"	"NM_000538.4"
"ENSG00000243927"	"ENSG00000243927.7"	"ENST00000399312"	"ENST00000399312.3"	"NM_032476.4"
"ENSG00000215475"	"ENSG00000215475.5"	"ENST00000400405"	"ENST00000400405.4"	"NM_198849.3"
"ENSG00000198743"	"ENSG00000198743.7"	"ENST00000381151"	"ENST00000381151.5"	"NM_006933.7"
"ENSG00000175820"	"ENSG00000175820.4"	"ENST00000322527"	"ENST00000322527.4"	"NM_001146197.3"
"ENSG00000159197"	"ENSG00000159197.5"	"ENST00000290310"	"ENST00000290310.4"	"NM_172201.2"
"ENSG00000178235"	"ENSG00000178235.8"	"ENST00000674365"	"ENST00000674365.1"	"NM_001281503.2"
"ENSG00000165572"	"ENSG00000165572.8"	"ENST00000379485"	"ENST00000379485.2"	"NM_152903.5"
"ENSG00000120696"	"ENSG00000120696.9"	"ENST00000379483"	"ENST00000379483.4"	"NM_032138.7"
"ENSG00000166265"	"ENSG00000166265.13"	"ENST00000652641"	"ENST00000652641.2"	"NM_001320768.2"
"ENSG00000125249"	"ENSG00000125249.7"	"ENST00000245304"	"ENST00000245304.5"	"NM_021033.7"
"ENSG00000160202"	"ENSG00000160202.8"	"ENST00000291554"	"ENST00000291554.6"	"NM_000394.4"
"ENSG00000180730"	"ENSG00000180730.5"	"ENST00000319420"	"ENST00000319420.4"	"NM_001007538.2"
"ENSG00000133105"	"ENSG00000133105.8"	"ENST00000298386"	"ENST00000298386.7"	"NM_130806.5"
"ENSG00000073910"	"ENSG00000073910.23"	"ENST00000542859"	"ENST00000542859.6"	"NM_023037.3"
"ENSG00000253797"	"ENSG00000253797.2"	"ENST00000521776"	"ENST00000521776.2"	"NM_021645.6"
"ENSG00000123171"	"ENSG00000123171.8"	"ENST00000242819"	"ENST00000242819.7"	"NM_031290.4"
"ENSG00000125245"	"ENSG00000125245.14"	"ENST00000397470"	"ENST00000397470.5"	"NM_001098200.2"
"ENSG00000102524"	"ENSG00000102524.12"	"ENST00000375887"	"ENST00000375887.9"	"NM_006573.5"
"ENSG00000132932"	"ENSG00000132932.19"	"ENST00000381655"	"ENST00000381655.7"	"NM_016529.6"
"ENSG00000151835"	"ENSG00000151835.17"	"ENST00000382292"	"ENST00000382292.9"	"NM_014363.6"
"ENSG00000231824"	"ENSG00000231824.4"	"ENST00000434239"	"ENST00000434239.4"	"NM_001145194.2"
"ENSG00000178695"	"ENSG00000178695.6"	"ENST00000377474"	"ENST00000377474.4"	"NM_138444.4"
"ENSG00000132874"	"ENSG00000132874.15"	"ENST00000255226"	"ENST00000255226.11"	"NM_007163.4"
"ENSG00000102805"	"ENSG00000102805.16"	"ENST00000377453"	"ENST00000377453.9"	"NM_006493.4"
"ENSG00000212710"	"ENSG00000212710.5"	"ENST00000391403"	"ENST00000391403.4"	"NM_172241.3"
"ENSG00000134489"	"ENSG00000134489.7"	"ENST00000256906"	"ENST00000256906.5"	"NM_021624.4"
"ENSG00000177511"	"ENSG00000177511.6"	"ENST00000324000"	"ENST00000324000.4"	"NM_015879.3"
"ENSG00000253309"	"ENSG00000253309.7"	"ENST00000681248"	"ENST00000681248.1"	"NM_001386375.1"
"ENSG00000139780"	"ENSG00000139780.8"	"ENST00000267273"	"ENST00000267273.7"	"NM_001010977.3"
"ENSG00000125255"	"ENSG00000125255.7"	"ENST00000245312"	"ENST00000245312.5"	"NM_000452.3"
"ENSG00000228075"	"ENSG00000228075.5"	"ENST00000585477"	"ENST00000585477.2"	"NM_001257964.2"
"ENSG00000139675"	"ENSG00000139675.13"	"ENST00000357495"	"ENST00000357495.5"	"NM_001389320.1"
"ENSG00000182346"	"ENSG00000182346.22"	"ENST00000375936"	"ENST00000375936.9"	"NM_172370.5"
"ENSG00000043355"	"ENSG00000043355.12"	"ENST00000376335"	"ENST00000376335.8"	"NM_007129.5"
"ENSG00000139800"	"ENSG00000139800.9"	"ENST00000267294"	"ENST00000267294.5"	"NM_033132.5"
"ENSG00000081138"	"ENSG00000081138.14"	"ENST00000397968"	"ENST00000397968.4"	"NM_004361.5"
"ENSG00000169840"	"ENSG00000169840.5"	"ENST00000302945"	"ENST00000302945.3"	"NM_145657.3"
"ENSG00000166603"	"ENSG00000166603.5"	"ENST00000299766"	"ENST00000299766.5"	"NM_005912.3"
"ENSG00000139515"	"ENSG00000139515.6"	"ENST00000381033"	"ENST00000381033.5"	"NM_000209.4"
"ENSG00000172915"	"ENSG00000172915.20"	"ENST00000379939"	"ENST00000379939.7"	"NM_001385012.1"
"ENSG00000101542"	"ENSG00000101542.10"	"ENST00000262717"	"ENST00000262717.9"	"NM_031891.4"
"ENSG00000141428"	"ENSG00000141428.17"	"ENST00000592875"	"ENST00000592875.6"	"NM_031446.5"
"ENSG00000141424"	"ENSG00000141424.13"	"ENST00000269187"	"ENST00000269187.10"	"NM_012319.4"
"ENSG00000102678"	"ENSG00000102678.7"	"ENST00000382353"	"ENST00000382353.6"	"NM_002010.3"
"ENSG00000166573"	"ENSG00000166573.6"	"ENST00000299727"	"ENST00000299727.5"	"NM_001480.4"
"ENSG00000283979"	"ENSG00000283979.4"	"ENST00000640199"	"ENST00000640199.4"	"NM_182705.3"
"ENSG00000153531"	"ENSG00000153531.15"	"ENST00000612156"	"ENST00000612156.3"	"NM_001394807.1"
"ENSG00000237378"	"ENSG00000237378.3"	"ENST00000611641"	"ENST00000611641.1"	"NM_001395920.1"
"ENSG00000132958"	"ENSG00000132958.19"	"ENST00000697147"	"ENST00000697147.1"	"NM_001395978.1"
"ENSG00000197971"	"ENSG00000197971.16"	"ENST00000355994"	"ENST00000355994.7"	"NM_001025101.2"
"ENSG00000120659"	"ENSG00000120659.16"	"ENST00000398795"	"ENST00000398795.7"	"NM_003701.4"
"ENSG00000253710"	"ENSG00000253710.5"	"ENST00000521508"	"ENST00000521508.2"	"NM_001004127.3"
"ENSG00000173988"	"ENSG00000173988.14"	"ENST00000595396"	"ENST00000595396.3"	"NM_001282460.2"
"ENSG00000285566"	"ENSG00000285566.2"	"ENST00000648713"	"ENST00000648713.2"	"NM_001370368.2"
"ENSG00000280165"	"ENSG00000280165.2"	"ENST00000409204"	"ENST00000409204.5"	"NM_022843.4"
"ENSG00000132972"	"ENSG00000132972.19"	"ENST00000255324"	"ENST00000255324.10"	"NM_031277.3"
"ENSG00000102471"	"ENSG00000102471.16"	"ENST00000218652"	"ENST00000218652.12"	"NM_019080.3"
"ENSG00000186009"	"ENSG00000186009.5"	"ENST00000335288"	"ENST00000335288.5"	"NM_000705.4"
"ENSG00000186047"	"ENSG00000186047.11"	"ENST00000504404"	"ENST00000504404.2"	"NM_001306135.2"
"ENSG00000175065"	"ENSG00000175065.12"	"ENST00000308128"	"ENST00000308128.9"	"NM_177986.5"
